ID_Angajat,Manager,Departament,Senioritate,Oras,Data,Ore_Lucrate,Proiecte_Finalizate,Feedback_Clienti,Training_Ore,Scor_Performanta,Risc_Plecare_Scor,Status_Risc
1000,Cristina D.,Marketing,Junior,Iasi,2023-01-01,257,8,4.5,23,298.5,0.0,Stabil
1001,Ion V.,Vanzari,Junior,Cluj-Napoca,2023-01-01,160,1,4.4,14,178.0,0.0,Stabil
1002,Elena D.,IT,Senior,Constanta,2023-01-01,193,1,3.7,27,230.5,0.0,Stabil
1003,Ion V.,Vanzari,Mid,Sibiu,2023-01-01,178,10,1.4,27,217.0,0.0,Stabil
1004,Cristina D.,Marketing,Mid,Iasi,2023-01-01,234,11,5.0,21,327.0,0.0,Potential
1005,Ana S.,Vanzari,Mid,Cluj-Napoca,2023-01-01,189,11,4.5,3,294.5,0.0,Stabil
1006,Maria I.,Marketing,Mid,Sibiu,2023-01-01,166,1,2.5,10,143.0,0.0,Stabil
1007,Cristina D.,Marketing,Senior,Bucuresti,2023-01-01,255,7,2.3,28,293.5,0.8,Risc Ridicat
1008,Mihai O.,HR,Mid,Brasov,2023-01-01,228,2,4.2,21,218.0,0.0,Stabil
1009,Ana S.,Vanzari,Junior,Bucuresti,2023-01-01,161,7,1.2,12,174.5,0.0,Stabil
1010,Ion V.,Marketing,Junior,Sibiu,2023-01-01,178,5,4.9,16,237.0,0.0,Stabil
1011,George R.,Vanzari,Senior,Brasov,2023-01-01,192,9,3.9,12,314.0,0.0,Potential
1012,Ion V.,HR,Junior,Brasov,2023-01-01,214,12,1.1,22,249.0,0.8,Risc Ridicat
1013,Andrei P.,Marketing,Junior,Bucuresti,2023-01-01,236,8,3.4,20,266.0,0.0,Stabil
1014,Mihai O.,IT,Mid,Constanta,2023-01-01,159,8,1.7,30,193.5,0.0,Stabil
1015,Maria I.,Marketing,Mid,Sibiu,2023-01-01,217,4,4.8,35,244.5,0.0,Stabil
1016,Maria I.,HR,Mid,Brasov,2023-01-01,258,12,4.5,30,339.0,0.0,Potential
1017,Maria I.,Marketing,Mid,Sibiu,2023-01-01,145,2,3.7,35,166.5,0.0,Stabil
1018,Maria I.,Marketing,Mid,Bucuresti,2023-01-01,210,2,1.6,32,157.0,0.8,Risc Ridicat
1019,Ion V.,IT,Junior,Cluj-Napoca,2023-01-01,167,8,1.9,36,201.5,0.0,Stabil
1020,Andrei P.,Marketing,Senior,Iasi,2023-01-01,232,8,1.2,17,270.0,1.0,Risc Ridicat
1021,Ion V.,Vanzari,Junior,Timisoara,2023-01-01,146,8,4.5,8,243.0,0.0,Stabil
1022,Ion V.,HR,Mid,Bucuresti,2023-01-01,245,14,2.6,28,314.5,0.8,Risc Ridicat
1023,Andrei P.,Vanzari,Senior,Iasi,2023-01-01,237,11,3.5,11,348.5,0.0,Potential
1024,Cristina D.,Vanzari,Senior,Sibiu,2023-01-01,211,1,3.2,25,229.5,0.0,Stabil
1025,Maria I.,IT,Mid,Iasi,2023-01-01,163,13,1.5,34,241.5,0.0,Stabil
1026,Ana S.,Marketing,Senior,Iasi,2023-01-01,230,11,1.2,29,299.0,0.8,Risc Ridicat
1027,Mihai O.,Marketing,Mid,Timisoara,2023-01-01,218,13,3.5,29,309.0,0.0,Potential
1028,George R.,Marketing,Mid,Brasov,2023-01-01,225,5,4.1,11,244.5,0.0,Stabil
1029,Ion V.,Marketing,Mid,Bucuresti,2023-01-01,201,9,1.8,37,226.5,0.8,Risc Ridicat
1030,Mihai O.,Vanzari,Junior,Cluj-Napoca,2023-01-01,243,6,2.3,34,227.5,0.8,Risc Ridicat
